,departure_delay,reported_weather_delay,temperature_c,visibility_m,wind_speed_mps,precipitation_mm
departure_delay,1.0,0.41649880782531007,-0.17388607028523856,-0.2882080636834733,0.05362564622646648,0.14465566018196427
reported_weather_delay,0.41649880782531007,1.0,-0.15261976272897224,-0.15387167679688027,0.05942416712562944,0.06991157638459787
temperature_c,-0.17388607028523856,-0.15261976272897224,1.0,0.04296500937380529,0.0475532128334628,0.27434058952425205
visibility_m,-0.2882080636834733,-0.15387167679688027,0.04296500937380529,1.0,-0.1587227465410702,-0.5570442646304625
wind_speed_mps,0.05362564622646648,0.05942416712562944,0.0475532128334628,-0.1587227465410702,1.0,0.32207391904844096
precipitation_mm,0.14465566018196427,0.06991157638459787,0.27434058952425205,-0.5570442646304625,0.32207391904844096,1.0
